Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp
Jakarta Pusat,22,0,0,231,231
Jakarta Barat,95,0,0,284,284
Jakarta Utara,31,0,0,288,288
Jakarta Timur,66,0,0,300,300
Jakarta Selatan,108,0,0,424,424
Kepulauan Seribu,0,0,0,0,0
