Kabupaten Pandeglang,0,0,0,95,3
Kabupaten Lebak,0,0,0,39,0
Kabupaten Tangerang,16,1,0,162,36
Kabupaten Serang,0,0,0,163,4
Kota Tangerang,13,0,3,222,31
Kota Cilegon,0,0,0,84,0
Kota Serang,0,0,0,35,5
Kota Tangerang Selatan,14,0,3,164,79
