Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Pandeglang,0,0,0,370,6,28-03-2020
Kabupaten Lebak,0,0,0,58,1,28-03-2020
Kabupaten Tangerang,18,1,0,198,56,28-03-2020
Kabupaten Serang,0,0,0,270,6,28-03-2020
Kota Tangerang,21,0,4,410,69,28-03-2020
Kota Cilegon,0,0,0,158,1,28-03-2020
Kota Serang,0,0,0,65,4,28-03-2020
Kota Tangerang Selatan,28,0,3,207,99,28-03-2020
