Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Yogyakarta,4,1,0,267,26,28-03-2020
Sleman,8,0,0,398,30,28-03-2020
Kulon Progo,1,0,0,94,6,28-03-2020
Gunung Kidul,1,0,0,440,8,28-03-2020
Bantul,3,0,0,263,37,28-03-2020
