Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Blitar,1,0,0,197,2,28-03-2020
Kabupaten Tulungagung,0,0,0,410,26,28-03-2020
Kabupaten Trenggalek,0,0,0,217,2,28-03-2020
Kabupaten Bojonegoro,0,0,0,50,1,28-03-2020
Kabupaten Situbondo,2,0,0,112,5,28-03-2020
Kota Batu,1,0,0,66,0,28-03-2020
Kota Surabaya,33,0,0,193,34,28-03-2020
Kota Blitar,0,0,0,82,2,28-03-2020
Kota Probolinggo,0,0,0,36,1,28-03-2020
Kabupaten Nganjuk,0,0,0,17,3,28-03-2020
Kota Kediri,0,0,0,15,0,28-03-2020
Kabupaten Lumajang,1,0,0,74,8,28-03-2020
Kabupaten Banyuwangi,0,0,0,128,1,28-03-2020
Kabupaten Jember,1,0,0,140,9,28-03-2020
Kota Malang,3,0,0,142,12,28-03-2020
Kabupaten Ponorogo,0,0,0,138,3,28-03-2020
Kabupaten Pacitan,0,0,0,154,1,28-03-2020
Kabupaten Pamekasan,0,0,0,85,1,28-03-2020
Kabupaten Madiun,0,0,0,53,4,28-03-2020
Kota Pasuruan,0,0,0,6,12,28-03-2020
Kota Mojokerto,0,0,0,121,10,28-03-2020
Kabupaten Bondowoso,0,0,0,222,1,28-03-2020
Kabupaten Sumenep,0,0,0,31,0,28-03-2020
Kabupaten Ngawi,0,0,0,64,5,28-03-2020
Kabupaten Pasuruan,0,0,0,18,0,28-03-2020
Kabupaten Gresik,1,0,0,90,22,28-03-2020
Kabupaten Jombang,0,0,0,91,3,28-03-2020
Kabupaten Sampang,0,0,0,61,0,28-03-2020
Kabupaten Kediri,2,0,0,69,4,28-03-2020
Kabupaten Sidoarjo,8,0,0,66,44,28-03-2020
Kabupaten Tuban,0,0,0,121,2,28-03-2020
Kabupaten Mojokerto,0,0,0,99,3,28-03-2020
Kota Madiun,0,0,0,13,8,28-03-2020
Kabupaten Malang,5,0,0,49,16,28-03-2020
Kabupaten Magetan,8,0,0,35,9,28-03-2020
Kabupaten Bangkalan,0,0,0,119,1,28-03-2020
Kabupaten Probolinggo,0,0,0,88,3,28-03-2020
Kabupaten Lamongan,0,0,0,77,8,28-03-2020
