Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Pandeglang,0,0,0,485,7,29-03-2020
Kabupaten Lebak,0,0,0,74,2,29-03-2020
Kabupaten Tangerang,18,1,0,216,56,29-03-2020
Kabupaten Serang,0,0,0,301,6,29-03-2020
Kota Tangerang,21,0,4,466,79,29-03-2020
Kota Cilegon,0,0,0,167,1,29-03-2020
Kota Serang,0,0,0,72,4,29-03-2020
Kota Tangerang Selatan,29,0,3,238,110,29-03-2020
