Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Jakarta Pusat,22,0,0,231,231,26-03-2020
Jakarta Barat,95,0,0,284,284,26-03-2020
Jakarta Utara,31,0,0,288,288,26-03-2020
Jakarta Timur,66,0,0,300,300,26-03-2020
Jakarta Selatan,108,0,0,424,424,26-03-2020
Kepulauan Seribu,0,0,0,0,0,26-03-2020
